Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
Trust Wallet  TWT,"US$ 0,8333",US$ 10.349.452,US$ 347.132.964,US$ 833.152.640
TrustSwap  SWAP,"US$ 0,09658",US$ 305.717,US$ 9.658.275,US$ 9.658.275
Turbo  TURBO,"US$ 0,005494",US$ 342.578.914,US$ 379.113.885,US$ 379.113.885
Tutorial  TUT,"US$ 0,02812",US$ 28.735.568,US$ 23.488.917,US$ 23.488.917
U.CASH  UCASH,"US$ 0,00144","US$ 0,7196",US$ 15.292.554,US$ 30.245.327
uBTC  UBTC,"US$ 94.864,87","US$ 99,43",US$ 483.673.590,US$ 1.992.162.346.569
UFO Gaming  UFO,"US$ 0,062465",US$ 108.841,US$ 6.350.857,US$ 6.350.857
UFO Token  UFO,"US$ 0,00002116","US$ 60.372,25",US$ 19.451.575,US$ 19.451.575
Ultra  UOS,"US$ 0,05174",US$ 988.863,US$ 22.214.066,US$ 51.739.963
UMA  UMA,"US$ 1,24",US$ 11.797.603,US$ 106.922.819,US$ 153.759.361
Unchain X  UNX,"US$ 0,06149",US$ 543.195,US$ 14.406.887,US$ 608.615.606
Undeads Games  UDS,"US$ 0,8036",US$ 394.797,US$ 57.716.815,US$ 200.781.698
Unicorn Fart Dust  UFD,"US$ 0,02982",US$ 5.615.484,US$ 29.853.948,US$ 29.853.948
Unipoly  UNP,"US$ 0,1877",US$ 2.018.329,US$ 52.456.104,US$ 187.859.843
Uniswap  UNI,"US$ 5,82",US$ 198.464.878,US$ 3.494.265.121,US$ 5.819.090.119
Universal ETH  UNIETH,"US$ 1.977,25","US$ 23.955,12",US$ 28.398.168,US$ 28.398.168
Unizen  ZCX,"US$ 0,04869",US$ 727.790,US$ 30.672.099,US$ 46.197.416
UPCX  UPC,"US$ 3,98",US$ 1.003.459,US$ 16.528.657,US$ 3.107.554.857
Uquid Coin  UQC,"US$ 3,78",US$ 294.577,US$ 37.795.401,US$ 151.181.606
USD1  USD1,"US$ 1,00",US$ 23.360.946,US$ 128.021.545,US$ 128.021.545
USDa  USDA,"US$ 0,9988","US$ 73.412,29",US$ 210.574.756,US$ 210.574.756
USDB  USDB,"US$ 1,00",US$ 851.128,US$ 406.511.934,US$ 406.511.934
USDC  USDC,"US$ 0,9999",US$ 4.351.660.982,US$ 62.251.827.296,US$ 62.251.911.175
USDD  USDD,"US$ 1,00",US$ 13.844.986,US$ 383.086.675,US$ 382.970.625
USDS  USDS,"US$ 0,9998",US$ 6.509.760,US$ 7.538.363.016,US$ 7.538.363.016
USDT0  USDT0,"US$ 1,00",US$ 186.734.391,US$ 942.107.773,US$ 941.679.480
USDX  USDX,"US$ 0,6642","US$ 6.304,95",US$ 74.101.939,US$ 74.101.939
USSI  USSI,"US$ 1,01","US$ 48.709,14",US$ 12.087.285,US$ 12.087.285
Usual  USUAL,"US$ 0,1477",US$ 31.159.562,US$ 123.094.182,US$ 136.637.741
Usual USD  USD0,"US$ 0,9979",US$ 2.712.909,US$ 661.344.228,US$ 661.344.228
USUALx  USUALX,"US$ 0,2023",US$ 264.037,US$ 70.371.905,US$ 70.371.905
uTON  UTON,"US$ 3,19","US$ 25,37",US$ 9.723.204,US$ 9.723.204
UXD Protocol  UXP,"US$ 0,01246","US$ 60,68",US$ 87.253.273,US$ 87.253.273
UXLINK  UXLINK,"US$ 0,4714",US$ 38.840.170,US$ 192.900.593,US$ 471.689.494
VaderAI by Virtuals  VADER,"US$ 0,02582",US$ 1.312.761,US$ 25.834.552,US$ 25.834.552
VAIOT  VAI,"US$ 0,02726",US$ 207.327,US$ 10.142.428,US$ 10.912.483
ValleyDAO  GROW,"US$ 0,2844","US$ 30.586,59",US$ 8.545.029,US$ 8.545.029
Vana  VANA,"US$ 6,29",US$ 36.410.605,US$ 193.456.979,US$ 753.728.490
Vanar Chain  VANRY,"US$ 0,03569",US$ 12.229.582,US$ 69.110.850,US$ 71.079.718
Vara Network  VARA,"US$ 0,00728",US$ 3.629.343,US$ 20.224.173,US$ 72.799.515
VeBetterDAO  B3TR,"US$ 0,1148",US$ 639.850,US$ 23.828.763,US$ 23.828.763
VeChain  VET,"US$ 0,02713",US$ 105.380.206,US$ 2.332.915.323,US$ 2.332.915.323
VedoraAI  VED,"US$ 0,076","US$ 16,48",US$ 6.536.568,US$ 7.600.184
Velas  VLX,"US$ 0,00409",US$ 300.894,US$ 11.071.697,US$ 11.071.697
Velo  VELO,"US$ 0,01386",US$ 10.340.038,US$ 102.439.496,US$ 332.663.285
Velodrome Finance  VELO,"US$ 0,05525",US$ 9.515.896,US$ 51.182.373,US$ 114.194.423
Venice Token  VVV,"US$ 3,19",US$ 10.227.258,US$ 93.463.540,US$ 223.740.101
Veno Finance  VNO,"US$ 0,01681","US$ 25.997,51",US$ 8.505.569,US$ 31.507.014
Venom  VENOM,"US$ 0,1406",US$ 1.022.199,US$ 291.131.769,US$ 1.024.006.803
Venus  XVS,"US$ 5,73",US$ 7.866.695,US$ 95.441.041,US$ 170.501.018
VeraOne  VRO,"US$ 107,71","US$ 35.846,96",US$ 31.561.731,US$ 31.561.731
Verasity  VRA,"US$ 0,001508",US$ 5.666.480,US$ 14.522.700,US$ 145.801.585
Verge  XVG,"US$ 0,005418",US$ 3.836.497,US$ 89.507.059,US$ 89.686.100
Vertex  VRTX,"US$ 0,04532",US$ 1.240.149,US$ 22.809.392,US$ 45.364.160
Vertical AI  VERTAI,"US$ 0,2014",US$ 1.297.144,US$ 20.175.962,US$ 20.175.962
Verus  VRSC,"US$ 2,91","US$ 3.038,49",US$ 228.914.212,US$ 228.928.246
Vestra DAO  VSTR,"US$ 0,005579","US$ 14.142,48",US$ 7.758.779,US$ 278.948.713
VeThor  VTHO,"US$ 0,002787",US$ 11.713.232,US$ 247.283.835,US$ 247.423.083
VICE  VICE,"US$ 0,03456",US$ 576.113,US$ 27.168.211,US$ 34.596.717
ViciCoin  VCNT,"US$ 18,86",US$ 311.056,US$ 107.529.687,US$ 188.772.432
Viction  VIC,"US$ 0,2387",US$ 1.556.098,US$ 28.828.773,US$ 50.127.524
Victoria VR  VR,"US$ 0,003569",US$ 6.237.968,US$ 29.060.314,US$ 59.964.570
Vine  VINE,"US$ 0,03761",US$ 56.606.599,US$ 37.572.387,US$ 37.572.387
Virtuals Protocol  VIRTUAL,"US$ 1,12",US$ 457.806.444,US$ 732.404.053,US$ 1.122.988.946
Vita Inu  VINU,"US$ 0,071431",US$ 2.904.420,US$ 12.888.347,US$ 12.888.347
VitaDAO  VITA,"US$ 1,18",US$ 2.173.445,US$ 29.576.879,US$ 31.533.496
VIVI COIN  VIVI,"US$ 0,007061","US$ 80.698,92",US$ 7.551.247,US$ 14.121.945
Volt Inu  VOLT,"US$ 0,062173",US$ 205.145,US$ 13.532.243,US$ 14.996.431
VON  VON,"US$ 0,00005112",US$ 3.523.280,US$ 12.135.528,US$ 51.216.460
Vow  VOW,"US$ 0,0881",US$ 273.371,US$ 31.374.304,US$ 100.684.018
Voxies  VOXEL,"US$ 0,07697",US$ 65.759.536,US$ 18.183.134,US$ 23.136.476
VR1  VR1,"US$ 0,03362","US$ 59.500,22",US$ 17.157.048,US$ 33.464.131
Vtrading  VTRADING,"US$ 0,006942",US$ 105.205,US$ 6.866.437,US$ 6.866.437
Vulcan Forged  PYR,"US$ 1,21",US$ 9.751.538,US$ 28.828.998,US$ 60.317.517
VVS Finance  VVS,"US$ 0,052289",US$ 134.847,US$ 110.263.418,US$ 214.995.829
Vyvo Smart Chain  VSC,"US$ 0,004055",US$ 159.212,US$ 17.880.146,US$ 81.165.505
Wagmi  WAGMI,"US$ 0,008887",US$ 3.473.354,US$ 15.382.962,US$ 44.426.355
WAGMI Games  WAGMIGAMES,"US$ 0,05483",US$ 448.985,US$ 10.162.280,US$ 10.624.805
WalletConnect Token  WCT,"US$ 0,4316",US$ 181.982.281,US$ 80.544.702,US$ 432.570.898
Walrus  WAL,"US$ 0,5366",US$ 44.932.182,US$ 671.030.942,US$ 2.684.123.769
Wanchain  WAN,"US$ 0,122",US$ 2.494.652,US$ 24.247.749,US$ 25.647.335
WATCoin  WATC,"US$ 0,0004161","US$ 21.890,67",US$ 20.873.663,US$ 23.119.550
WaterNeuron  WTN,"US$ 0,1706","US$ 21.446,67",US$ 19.903.444,US$ 19.903.444
Waves  WAVES,"US$ 1,24",US$ 51.749.555,US$ 124.358.790,US$ 124.358.790
WAX  WAXP,"US$ 0,02581",US$ 8.209.523,US$ 90.403.622,US$ 97.271.516
Wayfinder  PROMPT,"US$ 0,3749",US$ 148.351.415,US$ 84.150.005,US$ 375.836.942
WazirX  WRX,"US$ 0,02668","US$ 33.853,93",US$ 12.180.003,US$ 26.680.281
WeatherXM  WXM,"US$ 0,237","US$ 11.664,17",US$ 14.931.787,US$ 23.701.249
Web 3 Dollar  USD3,"US$ 1,05","US$ 1.059,86",US$ 45.145.007,US$ 45.145.007
Web3Shot  W3S,"US$ 1,70","US$ 31.539,06",US$ 94.071.646,US$ 170.380.449
WeFi  WFI,"US$ 0,4947",US$ 614.318,US$ 11.481.366,US$ 494.674.594
WELF  WELF,"US$ 0,9115","US$ 78.796,16",US$ 6.952.466,US$ 45.576.095
WEMIX  WEMIX,"US$ 0,6962",US$ 1.624.337,US$ 292.692.399,US$ 375.993.477
WEMIX Dollar  WEMIX$,"US$ 0,8586",US$ 101.080,US$ 12.484.203,US$ 12.484.203
Wen  WEN,"US$ 0,00004894",US$ 26.357.389,US$ 35.627.293,US$ 35.627.293
WETH  WETH,"US$ 1.816,50",US$ 190.602.956,US$ 5.080.905.104,US$ 5.080.905.104
WhiteBIT Coin  WBT,"US$ 29,38",US$ 11.881.077,US$ 4.234.265.031,US$ 9.604.339.561
Whiteheart  WHITE,"US$ 3.113,23","US$ 7,63",US$ 27.670.347,US$ 27.670.347
WHY  WHY,"US$ 0,07502",US$ 1.464.980,US$ 21.063.641,US$ 21.063.641
WibeGram  WIBE,"US$ 1,71",US$ 7.185.254,US$ 7.199.570,US$ 511.878.398
WiFi Map  WIFI,"US$ 0,0109","US$ 87.984,39",US$ 6.432.238,US$ 10.925.967
Wilder World  WILD,"US$ 0,1633",US$ 797.785,US$ 52.985.388,US$ 81.686.003
Wing Finance  WING,"US$ 1,42",US$ 34.966.424,US$ 7.048.877,US$ 10.827.926
WINK  WINK,"US$ 0,03251","US$ 3,15",US$ 9.896.320,US$ 32.508.881
WINkLink  WIN,"US$ 0,00005491",US$ 25.335.130,US$ 54.537.669,US$ 54.828.449
Wise Monkey  MONKY,"US$ 0,051257",US$ 938.246,US$ 10.683.746,US$ 10.683.746
Wojak  WOJAK,"US$ 0,0003642",US$ 1.448.086,US$ 25.287.658,US$ 25.287.658
WOO  WOO,"US$ 0,07455",US$ 11.980.056,US$ 142.742.790,US$ 165.099.854
World Chain Bridged USDC (World Chain)  USDC.E,"US$ 0,9983",US$ 939.487,US$ 11.489.770,US$ 11.489.770
World Friendship Cash  WFCA,"US$ 0,1654",US$ 1.349.963,US$ 34.670.054,US$ 165.687.879
World Mobile Token  WMTX,"US$ 0,1776",US$ 4.839.539,US$ 127.634.923,US$ 355.147.521
World of Dypians  WOD,"US$ 0,08416",US$ 7.976.485,US$ 15.421.093,US$ 84.147.040
Worldcoin  WLD,"US$ 1,24",US$ 525.866.047,US$ 1.633.332.262,US$ 12.479.224.133
Wormhole  W,"US$ 0,09099",US$ 72.082.562,US$ 412.850.188,US$ 906.647.087
Wrapped AVAX  WAVAX,"US$ 22,44",US$ 1.162.111,US$ 250.472.753,US$ 250.472.753
Wrapped Beacon ETH  WBETH,"US$ 1.940,04",US$ 4.095.486,US$ 137.623.763,US$ 137.623.763
Wrapped Bitcoin  WBTC,"US$ 94.638,79",US$ 156.500.183,US$ 12.194.387.493,US$ 12.194.387.493
Wrapped BNB  WBNB,"US$ 607,36",US$ 173.123.591,US$ 921.510.664,US$ 921.821.222
Wrapped Centrifuge  WCFG,"US$ 0,153",US$ 101.453,US$ 27.049.049,US$ 27.051.808
Wrapped Cygnus USD  WCGUSD,"US$ 1,10","US$ 277,04",US$ 9.196.834,US$ 9.196.834
Wrapped eETH  WEETH,"US$ 1.936,44",US$ 11.662.804,US$ 4.049.169.458,US$ 4.049.753.837
Wrapped Ether (Mantle Bridge)  WETH,"US$ 1.822,05",US$ 2.053.522,US$ 138.256.082,US$ 138.256.082
Wrapped fragSOL  WFRAGSOL,"US$ 155,53",US$ 1.935.336,US$ 99.473.805,US$ 99.473.805
Wrapped gBera  WGBERA,"US$ 3,73",US$ 156.089,US$ 14.522.206,US$ 14.522.206
Wrapped HYPE  WHYPE,"US$ 17,97",US$ 13.776.777,US$ 256.016.528,US$ 255.009.214
Wrapped Mantle  WMNT,"US$ 0,743",US$ 265.153,US$ 14.039.531,US$ 14.033.384
Wrapped NXM  WNXM,"US$ 40,09",US$ 791.708,US$ 27.563.609,US$ 27.556.513
Wrapped Origin Sonic  WOS,"US$ 0,5493","US$ 30.039,28",US$ 13.401.151,US$ 13.401.175
Wrapped POL  WPOL,"US$ 0,2453",US$ 8.753.767,US$ 55.824.767,US$ 55.828.066
Wrapped QUIL  QUIL,"US$ 0,02811",US$ 540.220,US$ 25.441.055,US$ 25.441.055
Wrapped STEAMX  WSTEAMX,"US$ 0,06032","US$ 388,47",US$ 11.857.585,US$ 11.857.585
Wrapped stETH  WSTETH,"US$ 2.180,70",US$ 22.399.183,US$ 7.721.202.528,US$ 7.721.202.528
Wrapped XRP  WXRP,"US$ 2,19","US$ 14.940,10",US$ 39.271.581,US$ 39.271.581
WUFFI  WUF,"US$ 0,062079","US$ 83.193,25",US$ 17.438.642,US$ 17.423.494
Xai  XAI,"US$ 0,06435",US$ 32.813.149,US$ 74.029.828,US$ 120.959.759
Xandeum  XAND,"US$ 0,01159","US$ 6.640,59",US$ 15.322.784,US$ 45.824.614
Xbit  XBT,"US$ 0,0109",US$ 296.452,US$ 9.408.126,US$ 10.901.653
XBorg  XBG,"US$ 0,07558",US$ 177.409,US$ 16.256.448,US$ 75.611.358
XDC Network  XDC,"US$ 0,07486",US$ 26.063.786,US$ 1.175.278.292,US$ 2.842.913.265
XEN Crypto  XEN,"US$ 0,076097",US$ 1.340.376,US$ 11.346.003,US$ 11.349.040
xExchange  MEX,"US$ 0,051549","US$ 54.330,00",US$ 6.452.913,US$ 12.418.084
XION  XION,"US$ 1,01",US$ 7.071.300,US$ 32.547.459,US$ 201.562.602
XPLA  XPLA,"US$ 0,02912","US$ 59.429,05",US$ 23.198.417,US$ 58.254.203
XPmarket  XPM,"US$ 0,03818",US$ 101.652,US$ 8.488.133,US$ 18.618.557
XPR Network  XPR,"US$ 0,003827",US$ 2.868.638,US$ 104.523.104,US$ 115.844.558
XRP  XRP,"US$ 2,19",US$ 2.185.138.307,US$ 128.291.653.480,US$ 219.479.055.168
XRP ARMY  ARMY,"US$ 0,01672",US$ 160.422,US$ 9.843.416,US$ 9.843.416
XSGD  XSGD,"US$ 0,7603",US$ 18.299.993,US$ 10.348.475,US$ 10.348.475
xSUSHI  XSUSHI,"US$ 1,06","US$ 4.697,75",US$ 8.228.567,US$ 8.228.567
XSwap  XSWAP,"US$ 0,03624","US$ 45.777,37",US$ 7.393.740,US$ 12.545.595
XT Stablecoin XTUSD  XTUSD,"US$ 1,00",US$ 3.075.233,US$ 32.814.405,US$ 32.814.405
XT.com  XT,"US$ 4,68",US$ 7.265.238,US$ 36.432.294,US$ 6.026.046.591
Xterio  XTER,"US$ 0,2994",US$ 8.441.192,US$ 33.661.040,US$ 299.209.242
XX Network  XX,"US$ 0,02277","US$ 89.260,79",US$ 7.404.711,US$ 21.659.522
XYO Network  XYO,"US$ 0,01479",US$ 18.937.251,US$ 206.881.511,US$ 206.881.511
yearn.finance  YFI,"US$ 5.868,50",US$ 31.298.952,US$ 198.039.127,US$ 214.955.517
yesnoerror  YNE,"US$ 0,00739",US$ 3.323.361,US$ 7.366.096,US$ 7.366.096
Yield Guild Games  YGG,"US$ 0,208",US$ 19.008.829,US$ 93.563.005,US$ 207.870.176
YieldFi yToken  YUSD,"US$ 1,08","US$ 1.694,85",US$ 13.098.966,US$ 13.098.966
YieldNest Restaked ETH  YNETH,"US$ 1.871,82","US$ 1.777,93",US$ 9.755.558,US$ 9.755.558
ynETH MAX  YNETHX,"US$ 1.889,60","US$ 27.955,07",US$ 15.551.825,US$ 15.551.825
YULI  YULI,"US$ 0,000784","US$ 59.067,56",US$ 6.268.167,US$ 6.268.167
YUSD Stablecoin  YUSD,"US$ 0,9958","US$ 496,54",US$ 11.809.914,US$ 11.824.525
Zano  ZANO,"US$ 10,05",US$ 738.469,US$ 148.278.602,US$ 148.294.780
Zcash  ZEC,"US$ 33,54",US$ 62.821.836,US$ 537.502.105,US$ 537.580.093
Zebec Network  ZBCN,"US$ 0,001037",US$ 11.068.824,US$ 81.533.407,US$ 103.678.099
Zedxion  ZEDXION,"US$ 0,3658",US$ 856.185,US$ 44.747.749,US$ 1.740.014.479
Zenon  ZNN,"US$ 0,6299","US$ 0,3672",US$ 7.711.781,US$ 7.711.781
Zentry  ZENT,"US$ 0,01052",US$ 7.447.809,US$ 70.924.607,US$ 102.442.457
Zerebro  ZEREBRO,"US$ 0,04755",US$ 58.725.842,US$ 47.571.284,US$ 47.571.284
Zero1 Labs  DEAI,"US$ 0,09844",US$ 1.376.156,US$ 9.729.473,US$ 9.773.378
ZetaChain  ZETA,"US$ 0,2684",US$ 19.313.767,US$ 209.423.095,US$ 563.628.178
Zeus Network  ZEUS,"US$ 0,3178",US$ 7.799.741,US$ 121.611.037,US$ 317.705.375
Zeus Network zBTC  ZBTC,"US$ 94.434,14",US$ 3.570.097,US$ 8.419.349,US$ 8.419.349
ZIGChain  ZIG,"US$ 0,07771",US$ 2.804.512,US$ 109.490.264,US$ 151.842.784
Zilliqa  ZIL,"US$ 0,01322",US$ 13.644.208,US$ 262.237.315,US$ 271.270.201
Zircuit  ZRC,"US$ 0,03954",US$ 9.615.733,US$ 86.759.231,US$ 395.272.240
zkLink  ZKL,"US$ 0,03372",US$ 3.931.336,US$ 8.896.882,US$ 33.701.831
zKML  ZKML,"US$ 0,1269","US$ 26.438,30",US$ 12.243.405,US$ 12.696.349
ZKsync  ZK,"US$ 0,06181",US$ 35.223.057,US$ 227.121.805,US$ 1.297.838.883
zkSync Bridged USDC (zkSync)  USDC,"US$ 0,9999",US$ 554.842,US$ 34.462.725,US$ 34.462.725
ZND Token  ZND,"US$ 0,1079",US$ 7.947.976,US$ 10.972.513,US$ 75.037.581
Zora  ZORA,"US$ 0,01699",US$ 88.077.920,US$ 46.084.712,US$ 169.882.484
ZTX  ZTX,"US$ 0,002304",US$ 268.828,US$ 9.685.989,US$ 23.034.732
ZUSD  ZUSD,"US$ 0,9961","US$ 599,05",US$ 18.431.344,US$ 18.431.344
1GUY  1GUY,"US$ 0,00618","US$ 51,33",US$ 6.179.639,US$ 6.179.639
1inch  1INCH,"US$ 0,2048",US$ 36.295.151,US$ 283.820.820,US$ 307.157.862
0x Protocol  ZRX,"US$ 0,2822",US$ 38.900.835,US$ 239.529.623,US$ 282.332.146
0x0.ai: AI Smart Contract  0X0,"US$ 0,08241",US$ 226.287,US$ 73.448.403,US$ 73.448.403
$HYPERSKIDS  HYPERSKIDS,"US$ 0,009146",US$ 172.679,US$ 9.152.831,US$ 9.152.831
